"","month","year","day_status","avg_wind"
"148",1,2015,"night",51.0725806451613
"149",1,2016,"day",44.3682795698925
"150",1,2016,"night",44.6129032258064
"151",1,2017,"day",45.239247311828
"152",1,2017,"night",46.6720430107527
"153",1,2018,"day",47.1075268817204
"154",1,2018,"night",49.5672043010753
"155",1,2019,"day",48.4166666666667
"156",1,2019,"night",49.1747311827957
"157",1,2020,"day",44.0833333333333
"158",1,2020,"night",44.6801075268817
"159",1,2021,"day",35.5134408602151
"160",1,2021,"night",35.4865591397849
"161",1,2022,"day",44.5591397849462
"162",1,2022,"night",45.2258064516129
"163",2,1941,"day",40.4523809523809
"164",2,1941,"night",42.2172619047619
"165",2,1942,"day",43.0267857142857
"166",2,1942,"night",43.2976190476191
"167",2,1943,"day",47.1964285714286
"168",2,1943,"night",49.8303571428571
"169",2,1944,"day",40.9540229885057
"170",2,1944,"night",41.5287356321839
"171",2,1945,"day",41.8095238095238
"172",2,1945,"night",46.9613095238095
"173",2,1946,"day",48.6964285714286
"174",2,1946,"night",48.8333333333333
"175",2,1947,"day",42.7023809523809
"176",2,1947,"night",45.3392857142857
"177",2,1948,"day",44.8908045977011
"178",2,1948,"night",46.2442528735632
"179",2,1949,"day",45.6130952380952
"180",2,1949,"night",45.5029761904762
"181",2,1950,"day",39.6934523809524
"182",2,1950,"night",42.4791666666667
"183",2,1951,"day",34.1369047619048
"184",2,1951,"night",34.7083333333333
"185",2,1952,"day",37.4683908045977
"186",2,1952,"night",39.6810344827586
"187",2,1953,"day",48.1607142857143
"188",2,1953,"night",47.9166666666667
"189",2,1954,"day",35.1488095238095
"190",2,1954,"night",37.3184523809524
"191",2,1955,"day",32.8214285714286
"192",2,1955,"night",33.1994047619048
"193",2,1956,"day",45.7873563218391
"194",2,1956,"night",46.9597701149425
"195",2,1957,"day",33.4523809523809
"196",2,1957,"night",35.625
"197",2,1958,"day",43.1726190476191
"198",2,1958,"night",45.4821428571429
"199",2,1959,"day",41.4298507462687
"200",2,1959,"night",43.6011904761905
"201",2,1960,"day",42.4741379310345
"202",2,1960,"night",41.6264367816092
"203",2,1961,"day",34.4910714285714
"204",2,1961,"night",35.0178571428571
"205",2,1962,"day",37.5059523809524
"206",2,1962,"night",36.6398809523809
"207",2,1963,"day",48.3571428571429
"208",2,1963,"night",49.3154761904762
"209",2,1964,"day",41.0459770114943
"210",2,1964,"night",43.5747126436782
"211",2,1965,"day",42.6160714285714
"212",2,1965,"night",47.3005952380952
"213",2,1966,"day",37.4553571428571
"214",2,1966,"night",36.6071428571429
"215",2,1967,"day",40.7827380952381
"216",2,1967,"night",43.1190476190476
"217",2,1968,"day",41.2382352941176
"218",2,1968,"night",46.8782608695652
"219",2,1969,"day",36.7946428571429
"220",2,1969,"night",39.8065476190476
"221",2,1970,"day",45.0476190476191
"222",2,1970,"night",46.4375
"223",2,1971,"day",38.7023809523809
"224",2,1971,"night",40.1309523809524
"225",2,1972,"day",48.382183908046
"226",2,1972,"night",52.0344827586207
"227",2,1973,"day",38.6428571428571
"228",2,1973,"night",38.3303571428571
"229",2,1974,"day",40.9821428571429
"230",2,1974,"night",42.9851190476191
"231",2,1975,"day",43.4434523809524
"232",2,1975,"night",47.5863095238095
"233",2,1976,"day",48.8505747126437
"234",2,1976,"night",48.4942528735632
"235",2,1977,"day",41.0892857142857
"236",2,1977,"night",43.2946428571429
"237",2,1978,"day",35.4311377245509
"238",2,1978,"night",39.4732142857143
"239",2,1979,"day",40.2172619047619
"240",2,1979,"night",42.8928571428571
"241",2,1981,"day",45.25
"242",2,1981,"night",46.0119047619048
"243",2,1982,"day",49.6904761904762
"244",2,1982,"night",51.0565476190476
"245",2,1983,"day",38.8690476190476
"246",2,1983,"night",37.5386904761905
"247",2,1984,"day",37.9252873563218
"248",2,1984,"night",35.6235632183908
"249",2,1985,"day",45.6607142857143
"250",2,1985,"night",45.9851190476191
"251",2,1986,"day",32.9136904761905
"252",2,1986,"night",36.4107142857143
"253",2,1987,"day",53.8511904761905
"254",2,1987,"night",54.1071428571429
"255",2,1988,"day",44.9195402298851
"256",2,1988,"night",47.0948275862069
"257",2,1989,"day",40.1964285714286
"258",2,1989,"night",43.9464285714286
"259",2,1990,"day",54.0535714285714
"260",2,1990,"night",54.9315476190476
"261",2,1991,"day",45.6101190476191
"262",2,1991,"night",42.5595238095238
"263",2,1992,"day",44.2844827586207
"264",2,1992,"night",47.5775862068966
"265",2,1993,"day",39.9970238095238
"266",2,1993,"night",40.6041666666667
"267",2,1994,"day",46.0119047619048
"268",2,1994,"night",51.7708333333333
"269",2,1995,"day",48.5892857142857
"270",2,1995,"night",49.5089285714286
"271",2,1996,"day",42.2701149425287
"272",2,1996,"night",44.4655172413793
"273",2,1997,"day",47.8273809523809
"274",2,1997,"night",50.6458333333333
"275",2,1998,"day",30.2321428571429
"276",2,1998,"night",31.8541666666667
"277",2,1999,"day",34.8928571428571
"278",2,1999,"night",33.2053571428571
"279",2,2000,"day",43.514367816092
"280",2,2000,"night",42.5603448275862
"281",2,2001,"day",52.4494047619048
"282",2,2001,"night",50.5357142857143
"283",2,2002,"day",43.4732142857143
"284",2,2002,"night",43.9851190476191
"285",2,2003,"day",47.594427244582
"286",2,2003,"night",51.0900621118012
"287",2,2004,"day",50.1781609195402
"288",2,2004,"night",48.8386167146974
"289",2,2005,"day",30.4136904761905
"290",2,2005,"night",30.4315476190476
"291",2,2006,"day",48.2291666666667
"292",2,2006,"night",51.8035714285714
"293",2,2007,"day",53.6904761904762
"294",2,2007,"night",50.6547619047619
"295",2,2008,"day",38.3189655172414
"296",2,2008,"night",41.9827586206897
"297",2,2009,"day",44.0297619047619
"298",2,2009,"night",43.8273809523809
"299",2,2010,"day",35.5803571428571
"300",2,2010,"night",37.2827380952381
"301",2,2011,"day",47.1845238095238
"302",2,2011,"night",49.4672619047619
"303",2,2012,"day",46.2931034482759
"304",2,2012,"night",48.1034482758621
"305",2,2013,"day",38.2261904761905
"306",2,2013,"night",39.6726190476191
"307",2,2014,"day",40.7976190476191
"308",2,2014,"night",41.9255952380952
"309",2,2015,"day",41.9255952380952
"310",2,2015,"night",42.9613095238095
"311",2,2016,"day",43.2787356321839
"312",2,2016,"night",45
"313",2,2017,"day",47.8898809523809
"314",2,2017,"night",49.6904761904762
"315",2,2018,"day",48.0684523809524
"316",2,2018,"night",51.5982142857143
"317",2,2019,"day",53.8779761904762
"318",2,2019,"night",56.6875
"319",2,2020,"day",46.3045977011494
"320",2,2020,"night",47.0862068965517
"321",2,2021,"day",39.6547619047619
"322",2,2021,"night",43.1488095238095
"323",2,2022,"day",43.7351190476191
"324",2,2022,"night",47.1071428571429
"325",12,1941,"day",39.5349462365591
"326",12,1941,"night",40.9274193548387
"327",12,1942,"day",48.5672043010753
"328",12,1942,"night",48.8279569892473
"329",12,1943,"day",42.4032258064516
"330",12,1943,"night",44.4112903225806
"331",12,1944,"day",46.6397849462366
"332",12,1944,"night",48.4301075268817
"333",12,1945,"day",41.9193548387097
"334",12,1945,"night",43.6639784946237
"335",12,1946,"day",47.9596774193548
"336",12,1946,"night",47.3629032258064
"337",12,1947,"day",45.5994623655914
"338",12,1947,"night",46.2016129032258
"339",12,1948,"day",39.2733333333333
"340",12,1948,"night",40.1233333333333
"341",12,1949,"day",43.2688172043011
"342",12,1949,"night",45.3951612903226
"343",12,1950,"day",34.4247311827957
"344",12,1950,"night",35.0806451612903
"345",12,1951,"day",43.3575268817204
"346",12,1951,"night",44.4381720430108
"347",12,1952,"day",36.4059139784946
"348",12,1952,"night",38.0295698924731
"349",12,1953,"day",46.6317204301075
"350",12,1953,"night",45.0806451612903
